GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
6037101110,385,764,473,555,551,0,NA
6037101122,0,1025,193,45,44,0,NA
6037101210,1705,345,249,1725,1723,0,NA
6037101220,499,427,238,668,667,0,NA
6037101300,28,1318,189,52,51,0,NA
6037101400,299,972,227,222,221,0,NA
6037102103,141,468,71,103,103,0,NA
6037102104,65,1018,211,0,0,0,NA
6037102105,188,268,114,141,140,0,NA
6037102107,164,905,189,182,182,0,NA
6037103101,0,727,191,8,8,0,NA
6037103102,102,1203,315,125,126,0,NA
6037103200,457,1398,318,553,553,0,NA
6037103300,0,1021,183,66,69,0,NA
6037103400,405,1391,603,540,539,0,NA
6037104103,8,637,145,0,0,0,NA
6037104105,676,760,84,546,592,0,NA
6037104108,592,659,107,531,531,0,NA
6037104201,13,631,253,29,30,0,NA
6037104203,239,443,352,264,265,0,NA
6037104204,186,439,79,128,128,0,NA
6037104310,12,538,293,14,15,0,NA
6037104320,182,541,441,208,208,0,NA
6037104401,3,399,303,40,38,0,NA
6037104403,5,400,227,54,54,0,NA
6037104404,117,279,198,174,175,0,NA
6037104500,35,345,235,55,55,0,NA
6037104610,36,397,280,152,152,0,NA
6037104620,10,448,263,19,19,0,NA
6037104701,501,217,173,116,115,0,NA
6037104703,294,228,62,171,171,0,NA
6037104704,330,623,161,165,163,0,NA
6037104810,8,660,376,39,35,0,NA
6037104821,315,336,115,262,263,0,NA
6037104822,281,228,105,336,340,0,NA
6037106010,86,668,169,7,7,0,NA
6037106020,0,1259,169,6,6,0,NA
6037106111,60,1205,94,0,0,0,NA
6037106112,0,1277,231,10,16,0,NA
6037106113,0,787,137,2,2,0,NA
6037106114,710,654,162,622,621,0,NA
6037106403,0,622,142,8,8,0,NA
6037106405,207,584,294,250,275,0,NA
6037106406,75,1199,287,83,85,0,NA
6037106407,462,231,105,342,341,0,NA
6037106408,762,162,52,755,754,0,NA
6037106510,325,1055,148,401,394,0,NA
6037106520,89,917,348,46,47,0,NA
6037106603,0,838,140,2,5,0,NA
6037106604,323,522,304,456,456,0,NA
6037106641,0,675,45,2,2,0,NA
6037106642,0,1000,112,0,0,0,NA
6037106643,0,1234,102,2,2,0,NA
6037106645,0,1078,67,0,0,0,NA
6037106646,10,807,158,0,0,0,NA
6037106648,416,512,65,280,278,0,NA
6037106649,0,596,113,19,19,0,NA
6037107010,4,549,188,43,40,0,NA
6037107020,46,903,262,134,135,0,NA
6037108101,0,688,109,0,0,0,NA
6037108102,40,926,242,0,0,0,NA
6037108103,0,946,103,0,0,0,NA
6037108104,0,552,43,0,0,0,NA
6037108201,41,1378,522,0,0,0,NA
6037108202,605,1352,311,626,622,0,NA
6037109100,77,556,68,2,2,0,NA
6037109200,21,726,175,80,80,0,NA
6037109300,0,712,191,0,0,0,NA
6037109400,58,852,111,48,49,0,NA
6037109601,138,835,265,95,95,0,NA
6037109603,415,678,174,315,316,0,NA
6037109604,110,676,112,132,132,0,NA
6037109700,65,1028,179,2,2,0,NA
6037109800,79,1239,141,92,92,0,NA
6037111100,44,761,156,62,62,0,NA
6037111201,0,1014,69,2,2,0,NA
6037111202,273,1167,412,385,387,0,NA
6037111204,0,1752,190,0,0,0,NA
6037111205,334,684,291,203,204,0,NA
6037111206,43,1288,165,0,0,0,NA
6037111301,1664,888,217,1531,1528,0,NA
6037111302,804,937,87,725,707,0,NA
6037111400,1522,986,353,960,958,0,NA
6037113101,51,923,165,15,16,0,NA
6037113102,0,906,57,7,7,0,NA
6037113211,84,1302,189,2,2,0,NA
6037113212,215,689,164,228,228,0,NA
6037113213,378,1080,207,329,331,0,NA
6037113231,56,692,87,48,48,0,NA
6037113232,17,1283,115,61,61,0,NA
6037113233,1662,596,141,1511,1508,0,NA
6037113234,722,644,81,632,632,0,NA
6037113237,509,853,66,410,410,0,NA
6037113301,232,565,25,677,677,0,NA
6037113303,83,1213,68,0,0,0,NA
6037113321,1491,675,162,1393,1394,0,NA
6037113322,12,1277,104,52,52,0,NA
6037113401,264,1268,250,145,144,0,NA
6037113421,1400,469,110,1510,1510,0,NA
6037113422,769,1140,223,722,722,0,NA
6037115101,17,1496,131,40,40,0,NA
6037115103,46,0,0,0,0,0,NA
6037115104,1377,391,75,1324,1445,0,NA
6037115201,1994,707,76,2046,2042,0,NA
6037115202,806,803,301,886,888,0,NA
6037115301,441,1030,135,512,510,0,NA
6037115302,588,338,82,639,639,0,NA
6037115401,1162,727,85,1114,1105,0,NA
6037115403,598,292,118,706,706,0,NA
6037115404,161,373,246,338,340,0,NA
6037117101,344,905,100,296,296,0,NA
6037117102,52,618,103,22,22,0,NA
6037117201,742,316,89,679,673,0,NA
6037117202,11,593,87,4,4,0,NA
6037117301,0,1170,74,0,0,0,NA
6037117302,235,1264,164,286,286,0,NA
6037117303,10,883,162,3,4,0,NA
6037117404,131,899,263,154,155,0,NA
6037117405,724,75,55,626,627,0,NA
6037117407,877,18,22,795,795,0,NA
6037117408,589,157,106,610,611,0,NA
6037117510,716,150,86,753,752,0,NA
6037117520,706,226,40,671,671,0,NA
6037117530,1092,364,107,853,854,0,NA
6037119001,0,757,186,0,0,0,NA
6037119002,164,1048,358,57,57,0,NA
6037119201,33,630,196,24,24,0,NA
6037119202,168,682,138,173,173,0,NA
6037119310,504,536,91,16,16,0,NA
6037119320,740,259,134,744,744,0,NA
6037119340,886,31,12,987,989,0,NA
6037119341,377,290,99,370,379,0,NA
6037119342,339,324,92,248,249,0,NA
6037119400,9,881,196,4,4,0,NA
6037119700,23,1115,121,77,77,0,NA
6037119800,92,1016,283,128,128,0,NA
6037119900,165,786,236,99,100,0,NA
6037120010,159,402,118,191,191,0,NA
6037120020,825,190,96,859,855,0,NA
6037120030,606,70,16,498,498,0,NA
6037120103,734,63,7,742,747,0,NA
6037120104,585,83,90,657,657,0,NA
6037120105,421,302,153,350,349,0,NA
6037120106,1074,99,1,996,995,0,NA
6037120107,888,70,63,894,895,0,NA
6037120108,741,409,132,599,598,0,NA
6037120300,155,1094,172,227,227,0,NA
6037120400,1169,599,278,1139,1139,0,NA
6037121010,145,954,189,149,150,0,NA
6037121020,304,456,227,360,366,0,NA
6037121101,470,408,48,290,290,0,NA
6037121102,24,529,190,87,87,0,NA
6037121210,113,475,188,44,44,0,NA
6037121221,15,328,166,55,55,0,NA
6037121222,661,341,209,532,533,0,NA
6037121600,0,664,140,11,11,0,NA
6037121801,617,297,185,757,755,0,NA
6037121802,10,571,142,18,17,0,NA
6037121900,137,719,218,155,155,0,NA
6037122000,105,965,462,168,170,0,NA
6037122120,348,646,114,304,304,0,NA
6037122121,325,291,102,307,308,0,NA
6037122122,408,101,84,415,418,0,NA
6037122200,130,434,337,215,218,0,NA
6037122410,901,61,62,883,883,0,NA
6037122420,822,483,71,760,760,0,NA
6037123010,563,337,143,615,611,0,NA
6037123020,156,480,164,192,193,0,NA
6037123103,872,504,122,790,797,0,NA
6037123104,1091,379,105,1076,1089,0,NA
6037123203,755,164,167,798,808,0,NA
6037123204,747,179,119,753,752,0,NA
6037123205,446,140,107,592,585,0,NA
6037123206,592,199,67,625,624,0,NA
6037123301,650,633,200,736,736,0,NA
6037123303,500,274,165,522,520,0,NA
6037123304,1311,269,97,1309,1311,0,NA
6037123410,818,238,159,816,813,0,NA
6037123420,723,411,170,788,799,0,NA
6037123510,939,393,190,1035,1031,0,NA
6037123520,387,306,119,461,465,0,NA
6037123601,985,708,201,926,929,0,NA
6037123602,674,469,185,660,659,0,NA
6037123700,438,732,266,539,540,0,NA
6037123800,1472,745,142,1360,1357,0,NA
6037123901,848,428,185,838,841,0,NA
6037123902,631,377,87,569,570,0,NA
6037124000,797,1088,195,896,898,0,NA
6037124102,883,365,137,978,982,0,NA
6037124103,315,198,92,366,367,0,NA
6037124104,843,83,99,828,827,0,NA
6037124105,668,124,109,714,712,0,NA
6037124201,302,522,286,389,390,0,NA
6037124203,457,242,144,605,603,0,NA
6037124204,752,102,204,850,847,0,NA
6037124300,760,312,213,840,843,0,NA
6037124400,680,750,171,751,749,0,NA
6037124500,401,571,231,497,496,0,NA
6037124600,619,633,139,643,642,0,NA
6037124700,1066,912,180,1236,1236,0,NA
6037124902,1309,199,41,1196,1195,0,NA
6037124903,1332,179,109,1400,1401,0,NA
6037125100,1747,802,141,2169,2165,0,NA
6037125200,776,542,270,964,972,0,NA
6037125310,1453,382,171,997,1001,0,NA
6037125320,2479,173,46,2490,2493,0,NA
6037125401,2063,156,50,2364,2362,0,NA
6037125402,1405,474,97,1307,1307,0,NA
6037125501,1118,315,161,1117,1125,0,NA
6037125502,1236,338,184,1371,1376,0,NA
6037125600,510,536,118,462,487,0,NA
6037127102,880,494,128,735,736,0,NA
6037127103,807,186,66,823,828,0,NA
6037127104,694,479,41,580,581,0,NA
6037127210,1206,551,143,1217,1142,234289,181176
6037127220,1253,389,58,1096,1099,0,NA
6037127300,983,495,200,593,593,1237544,1237544
6037127400,1283,341,197,1189,1181,0,NA
6037127520,1231,12,22,1104,1107,0,NA
6037127603,671,134,70,653,658,34661,35109
6037127604,910,192,40,852,853,678171,678590
6037127605,752,172,121,910,912,0,NA
6037127606,594,416,131,639,639,0,NA
6037127711,536,487,94,578,581,0,NA
6037127712,846,223,93,1180,1175,597611,597611
6037127803,888,295,203,867,868,89,89
6037127804,1070,396,65,1115,1116,6115,6115
6037127805,702,293,160,690,694,0,NA
6037127806,941,201,78,802,801,0,NA
6037127910,1077,201,155,1176,1193,0,NA
6037127920,634,440,130,733,731,0,NA
6037128101,648,421,176,622,635,0,NA
6037128102,929,323,175,1087,1100,0,NA
6037128210,1276,51,182,1399,1406,0,NA
6037128220,656,345,100,706,704,0,NA
6037128302,1038,286,95,1086,1087,0,NA
6037128303,922,70,78,927,927,0,NA
6037128400,666,841,164,752,756,0,NA
6037128500,922,803,287,998,1046,0,NA
6037128601,1146,378,107,1266,1269,0,NA
6037128602,422,718,185,553,549,0,NA
6037128702,1505,1071,170,1552,1556,0,NA
6037128801,1209,512,80,1289,1288,0,NA
6037128802,1202,832,141,1107,1234,0,NA
6037128910,720,879,181,850,865,0,NA
6037131010,1382,461,111,1196,1200,0,NA
6037131020,375,843,360,462,467,0,NA
6037131100,46,809,187,8,8,0,NA
6037131200,52,773,295,14,14,0,NA
6037131300,0,930,268,0,0,0,NA
6037131400,662,978,250,568,573,0,NA
6037131600,13,1105,338,59,59,0,NA
6037131701,761,695,223,682,686,0,NA
6037131702,279,718,125,207,207,0,NA
6037131800,675,715,238,708,709,0,NA
6037131900,12,1023,354,36,48,0,NA
6037132001,239,752,161,184,185,0,NA
6037132002,108,766,241,169,170,0,NA
6037132101,697,744,54,789,789,0,NA
6037132102,753,1049,148,578,578,0,NA
6037132300,1340,843,237,1325,1329,0,NA
6037132501,384,538,178,361,362,0,NA
6037132502,486,639,94,352,352,0,NA
6037132700,518,685,304,540,536,0,NA
6037132900,266,825,175,332,332,0,NA
6037133000,87,902,265,0,0,0,NA
6037133100,842,811,349,904,796,0,NA
6037134001,457,321,173,436,438,0,NA
6037134002,431,473,159,409,409,0,NA
6037134101,416,862,209,321,321,0,NA
6037134103,443,761,78,224,226,0,NA
6037134104,521,684,141,512,511,0,NA
6037134201,173,872,173,203,195,0,NA
6037134302,0,1051,181,0,0,0,NA
6037134303,263,1301,229,8,8,0,NA
6037134304,215,494,198,95,95,0,NA
6037134305,1103,6,10,1053,1053,0,NA
6037134306,596,518,74,624,625,0,NA
6037134421,0,1204,122,0,0,0,NA
6037134422,8,1263,323,0,0,0,NA
6037134423,133,1038,122,0,0,0,NA
6037134520,1359,340,128,1249,1245,0,NA
6037134521,504,142,72,554,559,0,NA
6037134522,897,224,168,735,740,0,NA
6037134710,1154,335,162,981,983,0,NA
6037134720,648,682,226,440,440,0,NA
6037134800,145,1439,289,112,112,0,NA
6037134901,211,768,157,288,288,0,NA
6037134903,2374,9,10,2862,2859,0,NA
6037134904,612,681,142,597,594,0,NA
6037134905,1517,221,6,1447,1448,0,NA
6037135102,34,899,337,38,38,0,NA
6037135111,248,609,227,278,278,0,NA
6037135113,1014,144,208,1234,1240,0,NA
6037135114,2022,335,95,1845,1849,0,NA
6037135201,119,719,63,44,44,0,NA
6037135202,7,1278,214,3,2,0,NA
6037135203,14,2214,301,1,2,0,NA
6037137000,58,1539,132,35,35,0,NA
6037137103,1095,1217,131,374,374,0,NA
6037137104,0,831,225,0,0,0,NA
